2022-11-04 10:33:16.393  INFO [sleuth-traceB,,,] 23384 --- [DiscoveryClient-HeartbeatExecutor-0] com.netflix.discovery.DiscoveryClient    : DiscoveryClient_SLEUTH-TRACEB/host.docker.internal:sleuth-traceB:62001 - Re-registering apps/SLEUTH-TRACEB
2022-11-04 11:45:55.548  INFO [sleuth-traceB,,,] 23384 --- [AsyncResolver-bootstrap-executor-0] c.n.d.s.r.aws.ConfigClusterResolver      : Resolving eureka endpoints via configuration
2022-11-04 11:50:55.555  INFO [sleuth-traceB,,,] 23384 --- [AsyncResolver-bootstrap-executor-0] c.n.d.s.r.aws.ConfigClusterResolver      : Resolving eureka endpoints via configuration
2022-11-04 11:55:55.568  INFO [sleuth-traceB,,,] 23384 --- [AsyncResolver-bootstrap-executor-0] c.n.d.s.r.aws.ConfigClusterResolver      : Resolving eureka endpoints via configuration
2022-11-04 12:00:55.604  INFO [sleuth-traceB,,,] 23384 --- [AsyncResolver-bootstrap-executor-0] c.n.d.s.r.aws.ConfigClusterResolver      : Resolving eureka endpoints via configuration
2022-11-04 12:05:55.609  INFO [sleuth-traceB,,,] 23384 --- [AsyncResolver-bootstrap-executor-0] c.n.d.s.r.aws.ConfigClusterResolver      : Resolving eureka endpoints via configuration
2022-11-04 12:10:55.623  INFO [sleuth-traceB,,,] 23384 --- [AsyncResolver-bootstrap-executor-0] c.n.d.s.r.aws.ConfigClusterResolver      : Resolving eureka endpoints via configuration
2022-11-04 12:15:55.664  INFO [sleuth-traceB,,,] 23384 --- [AsyncResolver-bootstrap-executor-0] c.n.d.s.r.aws.ConfigClusterResolver      : Resolving eureka endpoints via configuration
2022-11-04 12:20:55.671  INFO [sleuth-traceB,,,] 23384 --- [AsyncResolver-bootstrap-executor-0] c.n.d.s.r.aws.ConfigClusterResolver      : Resolving eureka endpoints via configuration
2022-11-04 12:25:55.682  INFO [sleuth-traceB,,,] 23384 --- [AsyncResolver-bootstrap-executor-0] c.n.d.s.r.aws.ConfigClusterResolver      : Resolving eureka endpoints via configuration
2022-11-04 12:30:55.714  INFO [sleuth-traceB,,,] 23384 --- [AsyncResolver-bootstrap-executor-0] c.n.d.s.r.aws.ConfigClusterResolver      : Resolving eureka endpoints via configuration
2022-11-04 12:35:55.715  INFO [sleuth-traceB,,,] 23384 --- [AsyncResolver-bootstrap-executor-0] c.n.d.s.r.aws.ConfigClusterResolver      : Resolving eureka endpoints via configuration
2022-11-04 12:40:55.728  INFO [sleuth-traceB,,,] 23384 --- [AsyncResolver-bootstrap-executor-0] c.n.d.s.r.aws.ConfigClusterResolver      : Resolving eureka endpoints via configuration
2022-11-04 12:45:55.745  INFO [sleuth-traceB,,,] 23384 --- [AsyncResolver-bootstrap-executor-0] c.n.d.s.r.aws.ConfigClusterResolver      : Resolving eureka endpoints via configuration
2022-11-04 12:50:55.756  INFO [sleuth-traceB,,,] 23384 --- [AsyncResolver-bootstrap-executor-0] c.n.d.s.r.aws.ConfigClusterResolver      : Resolving eureka endpoints via configuration
2022-11-04 12:55:55.773  INFO [sleuth-traceB,,,] 23384 --- [AsyncResolver-bootstrap-executor-0] c.n.d.s.r.aws.ConfigClusterResolver      : Resolving eureka endpoints via configuration
2022-11-04 13:00:55.788  INFO [sleuth-traceB,,,] 23384 --- [AsyncResolver-bootstrap-executor-0] c.n.d.s.r.aws.ConfigClusterResolver      : Resolving eureka endpoints via configuration
2022-11-04 13:05:55.819  INFO [sleuth-traceB,,,] 23384 --- [AsyncResolver-bootstrap-executor-0] c.n.d.s.r.aws.ConfigClusterResolver      : Resolving eureka endpoints via configuration
2022-11-04 13:10:55.829  INFO [sleuth-traceB,,,] 23384 --- [AsyncResolver-bootstrap-executor-0] c.n.d.s.r.aws.ConfigClusterResolver      : Resolving eureka endpoints via configuration
2022-11-04 13:15:55.838  INFO [sleuth-traceB,,,] 23384 --- [AsyncResolver-bootstrap-executor-0] c.n.d.s.r.aws.ConfigClusterResolver      : Resolving eureka endpoints via configuration
2022-11-04 13:20:55.854  INFO [sleuth-traceB,,,] 23384 --- [AsyncResolver-bootstrap-executor-0] c.n.d.s.r.aws.ConfigClusterResolver      : Resolving eureka endpoints via configuration
